ID,Name,Description,Type,MIN,STR,DEX,CON,INT,WIS,AGI,LUK,STR_Growth,DEX_Growth,CON_Growth,INT_Growth,WIS_Growth,AGI_Growth,LUK_Growth,Pierce,Slash,Bludgeon,Fire,Ice,Water,Thunder,Wind,Earth,Dark,Light,Target AI
26,Orthrus,A fiery two-headed dog,Wulven,17,16,8,11,8,2,15,10,46,23,31,23,6,43,29,1,1,1,0,1,2,1,2,1,2,05,Leader
27,Cerberus,A fiery three-headed dog,Wulven,20,18,12,20,10,10,12,18,36,24,40,20,20,24,36,1,1,1,0,1,2,1,2,1,2,05,Leader
28,Goblin,A goblin,Fey,1,4,1,4,3,1,5,7,32,8,32,24,8,40,56,1,1,1,2,2,2,1,1,2,1,1,Weakest
29,Pixie,A pixie,Fey,1,1,3,1,4,3,5,8,8,24,8,32,24,40,64,2,1,1,2,1,1,2,2,2,2,05,Leader
30,Boggart,A more disgusting goblin,Fey,4,3,3,6,2,4,7,10,17,17,34,11,23,40,57,1,1,1,2,2,2,1,1,2,1,1,Weakest
31,Hobgoblin,An even more disgusting goblin,Fey,7,7,1,7,2,4,4,10,40,6,40,11,23,23,57,1,1,1,1,1,2,1,1,2,1,1,Weakest
32,Satyr,A half-goat human hybrid fey,Fey,10,7,3,5,7,3,9,16,28,12,20,28,12,36,64,1,1,1,2,2,05,2,1,2,2,1,Strongest
33,Orc,An orc,Fey,10,20,8,16,1,5,5,15,57,23,46,3,14,14,43,05,05,05,1,1,1,1,1,2,1,1,Strongest
34,Dryad,A nymph that lives in trees,Fey,13,1,6,14,9,15,5,20,3,17,40,26,43,14,57,05,2,05,2,2,05,1,05,1,2,05,Leader
35,Naiad,A nymph that lives in water,Fey,13,1,9,6,14,10,10,20,3,26,17,40,29,29,57,2,05,05,05,2,0,2,1,1,2,05,Leader
36,Nyctaena,A nymph that lives in sand,Fey,13,1,14,9,6,5,15,20,3,40,26,17,14,43,57,05,05,2,1,05,2,05,2,1,05,1,Leader
37,Pleiades,A nymph that comes from the night sky,Fey,20,4,24,24,24,22,22,30,5,32,32,32,29,29,40,05,05,05,05,05,05,05,05,05,2,1,Leader
38,Spriggan,A shapeshifter,Fey,16,4,8,6,15,7,10,20,11,23,17,43,20,29,57,05,05,05,2,2,2,2,2,2,0,0,Weakest
39,Dragonnewt,A draconic lizard,Draco,4,5,2,5,2,5,10,6,29,11,29,11,29,57,34,1,05,1,1,2,1,1,1,1,1,1,Random
40,Dragon Turtle,A draconic turtle,Draco,8,10,2,20,1,6,1,10,40,8,80,4,24,4,40,1,05,05,05,2,1,1,2,1,1,1,Random
41,Salamander,A lizard that breathes fire,Draco,10,12,1,5,2,10,10,10,48,4,20,8,40,40,40,1,1,1,0,1,2,1,2,2,1,1,Random
42,Troglodyte,A lizardman,Draco,10,12,12,10,8,10,10,8,34,34,29,23,29,29,23,1,1,1,1,2,1,1,1,1,1,1,Leader
43,Naga,A snake man,Draco,12,8,14,14,10,10,4,10,23,40,40,29,29,11,29,05,1,1,1,2,1,1,1,1,1,1,Leader
44,Lamia,A snake lady,Draco,15,10,16,18,10,12,14,20,20,32,36,20,24,28,40,05,1,1,1,2,1,1,1,1,1,1,Weakest
45,Gorgon,A snake lady with snakes for hair,Draco,17,10,18,14,16,12,10,20,20,36,28,32,24,20,40,05,1,1,1,2,05,1,05,0,1,1,Leader
46,Young Dragon,A young dragon,Draco,18,20,1,20,12,14,20,13,40,2,40,24,28,40,26,1,05,05,1,2,05,1,05,1,1,1,Random
47,Elder Dragon,An old dragon,Draco,20,30,12,25,25,25,20,13,40,16,33,33,33,27,17,1,05,05,1,2,05,1,05,1,1,1,Random
48,Giant Spider,A big spider,Arachnid,1,5,1,5,1,1,5,7,40,8,40,8,8,40,56,05,1,05,2,05,1,1,2,1,1,1,Random
49,Giant Scorpion,A big scorpion,Arachnid,1,10,1,10,1,1,1,1,80,8,80,8,8,8,8,05,1,05,2,05,1,1,2,1,1,1,Random
50,Arthropleura,A big millipede,Arachnid,5,5,1,10,1,1,10,7,29,6,57,6,6,57,40,1,05,05,2,05,1,1,1,1,1,1,Random
51,Black Widow,A big spider with a venomous bite,Arachnid,7,15,1,7,1,1,10,15,60,4,28,4,4,40,60,05,1,05,2,05,1,1,1,0,1,1,Random
52,Deathstalker,A big scorpion with a venomous sting,Arachnid,7,15,1,15,1,1,7,10,60,4,60,4,4,28,40,1,1,05,2,05,1,1,1,0,1,1,Random
53,Meganeura,A big dragonfly,Arachnid,10,10,10,10,1,1,20,18,29,29,29,3,3,57,51,05,05,05,2,2,2,2,2,1,1,1,Random
54,Arachne,A half-spider lady,Arachnid,14,12,18,15,12,14,15,14,24,36,30,24,28,30,28,05,05,05,2,05,1,1,1,1,1,1,Weakest
55,Giant Rat,Rat,Beastial,1,4,4,4,4,4,4,1,32,32,32,32,32,32,8,1,1,1,1,05,1,2,1,1,1,1,Random
56,Chimera,A lion goat and snake combined,Beastial,5,6,6,6,5,5,6,1,34,34,34,29,29,34,6,1,1,1,05,05,1,05,05,2,2,1,Random
57,Cockatrice,A chicken with a snake tail,Beastial,6,4,8,4,7,4,7,1,23,46,23,40,23,40,6,1,1,1,1,1,1,2,05,2,1,1,Random
58,Manticore,A lion with a scorpion tail,Beastial,7,13,10,15,4,10,13,5,37,29,43,11,29,37,14,2,05,1,1,1,1,2,05,2,2,1,Random
59,Sphynx,A lion with a human face and wings,Beastial,10,15,8,16,10,15,5,1,43,23,46,29,43,14,3,05,05,05,05,05,1,05,2,2,2,05,Random
60,Harpy,A lady with bird wings,Beastial,10,4,14,7,4,8,18,15,11,40,20,11,23,51,43,2,05,05,1,2,1,2,05,2,1,1,Random
61,Kodiak,A huge fucking bear,Beastial,10,20,4,16,2,12,15,1,57,11,46,6,34,43,3,05,1,1,2,05,05,05,05,2,1,1,Random
62,Ninetails,A fox with entirely too many tails,Beastial,10,2,2,8,16,18,13,11,6,6,23,46,51,37,31,05,1,1,05,05,05,05,05,1,2,05,Strongest
63,Nekomata,A cat that's also a person,Beastial,10,2,14,6,10,12,13,13,6,40,17,29,34,37,37,1,1,1,05,05,2,05,05,2,1,1,Weakest
64,Centaur,A half-horse thing,Beastial,10,16,16,14,12,12,17,13,32,32,28,24,24,34,26,1,1,1,1,1,1,1,1,1,1,1,Leader
65,Crystal Golem,A living ore mine,Amorph,20,30,25,30,25,30,10,30,33,28,33,28,33,11,33,0,0,1,0,0,2,0,0,0,1,1,Random
66,Vampire,A vampire,Ghoul,20,25,25,25,30,25,25,25,28,28,28,33,28,28,28,0,0,0,05,05,1,05,05,05,0,2,Weakest
67,Amaroc,A bigger dog,Wulven,20,30,25,25,25,25,25,25,33,28,28,28,28,28,28,1,1,1,0,0,0,0,0,0,1,1,Random
68,Scylla,A lady with tentacles and dog heads coming from her hips,Fey,20,25,30,25,25,25,25,25,28,33,28,28,28,28,28,05,05,05,05,2,05,2,05,05,1,1,Weakest
69,Asmodeus,The Grim Reaper,Stal,20,30,30,30,30,30,30,30,29,29,29,29,29,29,29,0,05,1,1,0,0,0,0,0,0,1,Strongest
70,Tarrasque,A cute cuddly turtle friend,Draco,20,25,25,30,25,25,25,25,28,28,33,28,28,28,28,05,05,05,05,05,05,05,05,1,1,1,Random
71,Widowmaker,A venomous half-spider lady,Arachnid,20,25,30,25,25,25,25,25,28,33,28,28,28,28,28,05,05,1,2,05,1,05,05,05,0,0,Weakest
72,Behemoth,A big ass thing,Beastial,20,25,25,30,25,25,25,25,28,28,33,28,28,28,28,05,05,05,05,05,05,05,05,05,1,1,Random
73,Beholder,A floating eyeball with tentacles for reasons,Amorph,20,25,25,25,30,25,25,25,28,28,28,33,28,28,28,1,1,05,0,0,0,1,1,1,0,1,Weakest
74,Kraken,More tentacles,Amorph,20,25,25,30,25,25,25,25,28,28,33,28,28,28,28,05,1,05,1,2,0,2,05,1,1,1,Random
75,Air Kraken,See previous but with stupid little wings,Amorph,20,25,20,20,20,20,20,25,33,27,27,27,27,27,33,05,1,05,2,2,0,2,2,1,1,1,Random
